date,home,away
26/09/2026,Harlequins,Bath
26/09/2026,Northampton Saints,Newcastle Falcons
26/09/2026,Exeter Chiefs,Gloucester
26/09/2026,Sale Sharks,Bristol
26/09/2026,Leicester Tigers,Saracens
03/10/2026,Bath,Exeter Chiefs
03/10/2026,Bristol,Northampton Saints
03/10/2026,Gloucester,Harlequins
03/10/2026,Newcastle Falcons,Leicester Tigers
03/10/2026,Saracens,Sale Sharks
10/10/2026,Leicester Tigers,Gloucester
10/10/2026,Northampton Saints,Bath
10/10/2026,Saracens,Bristol
10/10/2026,Sale Sharks,Harlequins
10/10/2026,Exeter Chiefs,Newcastle Falcons
24/10/2026,Gloucester,Bath
24/10/2026,Newcastle Falcons,Sale Sharks
24/10/2026,Leicester Tigers,Northampton Saints
24/10/2026,Bristol,Exeter Chiefs
24/10/2026,Harlequins,Saracens
31/10/2026,Bristol,Leicester Tigers
31/10/2026,Exeter Chiefs,Harlequins
31/10/2026,Saracens,Newcastle Falcons
31/10/2026,Bath,Sale Sharks
31/10/2026,Northampton Saints,Gloucester
05/12/2026,Bath,Bristol
05/12/2026,Gloucester,Newcastle Falcons
05/12/2026,Harlequins,Leicester Tigers
05/12/2026,Saracens,Northampton Saints
05/12/2026,Sale Sharks,Exeter Chiefs
19/12/2026,Newcastle Falcons,Bath
19/12/2026,Gloucester,Saracens
19/12/2026,Leicester Tigers,Sale Sharks
19/12/2026,Northampton Saints,Exeter Chiefs
19/12/2026,Bristol,Harlequins
26/12/2026,Bristol,Newcastle Falcons
26/12/2026,Bath,Leicester Tigers
26/12/2026,Sale Sharks,Gloucester
26/12/2026,Exeter Chiefs,Saracens
26/12/2026,Harlequins,Northampton Saints
02/01/2027,Gloucester,Bristol
02/01/2027,Saracens,Bath
02/01/2027,Leicester Tigers,Exeter Chiefs
02/01/2027,Newcastle Falcons,Harlequins
02/01/2027,Northampton Saints,Sale Sharks
23/01/2027,Bath,Northampton Saints
23/01/2027,Exeter Chiefs,Bristol
23/01/2027,Harlequins,Gloucester
23/01/2027,Newcastle Falcons,Saracens
23/01/2027,Sale Sharks,Leicester Tigers
20/03/2027,Bath,Gloucester
20/03/2027,Bristol,Sale Sharks
20/03/2027,Exeter Chiefs,Northampton Saints
20/03/2027,Leicester Tigers,Newcastle Falcons
20/03/2027,Saracens,Harlequins
27/03/2027,Gloucester,Leicester Tigers
27/03/2027,Harlequins,Exeter Chiefs
27/03/2027,Newcastle Falcons,Bristol
27/03/2027,Northampton Saints,Saracens
27/03/2027,Sale Sharks,Bath
17/04/2027,Bath,Newcastle Falcons
17/04/2027,Bristol,Gloucester
17/04/2027,Exeter Chiefs,Sale Sharks
17/04/2027,Northampton Saints,Harlequins
17/04/2027,Saracens,Leicester Tigers
24/04/2027,Leicester Tigers,Bath
24/04/2027,Newcastle Falcons,Exeter Chiefs
24/04/2027,Sale Sharks,Saracens
24/04/2027,Gloucester,Northampton Saints
24/04/2027,Harlequins,Bristol
08/05/2027,Bristol,Saracens
08/05/2027,Exeter Chiefs,Bath
08/05/2027,Gloucester,Sale Sharks
08/05/2027,Harlequins,Newcastle Falcons
08/05/2027,Northampton Saints,Leicester Tigers
15/06/2027,Bath,Harlequins
15/06/2027,Leicester Tigers,Bristol
15/06/2027,Newcastle Falcons,Gloucester
15/06/2027,Sale Sharks,Northampton Saints
15/06/2027,Saracens,Exeter Chiefs
29/05/2027,Bristol,Bath
29/05/2027,Exeter Chiefs,Leicester Tigers
29/05/2027,Harlequins,Sale Sharks
29/05/2027,Newcastle Falcons,Northampton Saints
29/05/2027,Saracens,Gloucester
05/06/2027,Bath,Saracens
05/06/2027,Gloucester,Exeter Chiefs
05/06/2027,Leicester Tigers,Harlequins
05/06/2027,Northampton Saints,Bristol
05/06/2027,Sale Sharks,Newcastle Falcons
12/06/2027,TBC,TBC
12/06/2027,TBC,TBC
19/06/2027,TBC,TBC
19/06/2027,TBC,TBC
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
